Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
Výroba filmových plakátů,8/3/2019,15:30,8/3/2019,17:00,False,"90 min.
https://program.lfs.cz/detail/?film=V%c3%bdroba-filmov%c3%bdch-plak%c3%a1t%c5%af","Uherské Hradiště, Dětský/herní stan"
Vznik studentských filmů na FAMU a VŠMU Bratislava,7/30/2019,13:00,7/30/2019,14:30,False,"90 min.
https://program.lfs.cz/detail/?film=Making-Student-Films-at-FAMU-and-V%c5%a0MU-Bratislava","Uherské Hradiště, Respekt stan"
Šest žen pro vraha,7/26/2019,23:59,7/27/2019,1:38,False,"Mario Bava / Francie, Itálie, SRN 1964 / 89 min. / 15 let / DCP
https://www.csfd.cz/film/518-sest-zen-pro-vraha/prehled/
https://program.lfs.cz/detail/?film=Blood-and-Black-Lace","Uherské Hradiště, Sportovní hala"
Lelia,8/3/2019,21:00,8/3/2019,22:30,False,"90 min.
https://program.lfs.cz/detail/?film=Lelia","Uherské Hradiště, Slovácká búda"
"Tady Havel, slyšíte mě?",7/31/2019,19:00,7/31/2019,20:30,False,"90 min.
https://program.lfs.cz/detail/?film=Havel-Speaking","Uherské Hradiště, Respekt stan"
Čtvrtá strana trojúhelníku,7/30/2019,20:00,7/30/2019,21:19,False,"Jana Semschová / Československo 1986 / 79 min.
https://program.lfs.cz/detail/?film=%c4%8ctvrt%c3%a1-strana-troj%c3%baheln%c3%adku","Uherské Hradiště, Stan ČT"
"Řeči, řeči, řeči...",7/30/2019,21:30,7/30/2019,21:38,False,"Michaela Pavlátová / Československo 1991 / 8 min. / HD file
https://www.csfd.cz/film/71294-reci-reci-reci/prehled/
https://program.lfs.cz/detail/?film=Words%2c-Words%2c-Words","Uherské Hradiště, Letní kino Smetanovy sady"
Sedmý kontinent,7/31/2019,14:30,7/31/2019,16:31,False,"Michael Haneke / Rakousko 1989 / 111 min. / 18 let / DCP
https://www.csfd.cz/film/33751-sedmy-kontinent/prehled/
https://www.imdb.com/title/tt0098327/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=The-Seventh-Continent","Uherské Hradiště, Slovácké divadlo"
Nejlepší léta našeho života,7/29/2019,20:30,7/29/2019,23:32,False,"William Wyler / USA 1946 / 172 min. / DCP
https://www.csfd.cz/film/9877-nejlepsi-leta-naseho-zivota/prehled/
https://www.imdb.com/title/tt0036868/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=The-Best-Years-of-Our-Lives","Uherské Hradiště, Slovácké divadlo"
Nejlepší léta našeho života,8/3/2019,11:00,8/3/2019,14:02,False,"William Wyler / USA 1946 / 172 min. / DCP
https://www.csfd.cz/film/9877-nejlepsi-leta-naseho-zivota/prehled/
https://www.imdb.com/title/tt0036868/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=The-Best-Years-of-Our-Lives","Uherské Hradiště, Slovácké divadlo"
Cimbálová muzika Oskoruša,7/31/2019,21:00,7/31/2019,22:30,False,"90 min.
https://program.lfs.cz/detail/?film=Cimb%c3%a1lov%c3%a1-muzika-Oskoru%c5%a1a","Uherské Hradiště, Slovácká búda"
Hra,7/27/2019,21:00,7/27/2019,23:18,False,"Alejandro Fernández Almendras / Česká republika, Francie, Chile, Jižní Korea 2019 / 93 min. / 15 let / DCP
https://program.lfs.cz/detail/?film=The-Play","Uherské Hradiště, Klub kultury 1"
Nikdo nic neví,7/27/2019,11:00,7/27/2019,12:20,False,"Josef Mach / Československo 1947 / 70 min. / 35mm
https://www.csfd.cz/film/6293-nikdo-nic-nevi/prehled/
https://www.imdb.com/title/tt0133126/?ref_=nv_sr_3?ref_=nv_sr_3
https://program.lfs.cz/detail/?film=Nobody-Knows-Anything","Uherské Hradiště, Kino Hvězda"
Nikdo nic neví,7/31/2019,9:00,7/31/2019,10:20,False,"Josef Mach / Československo 1947 / 70 min. / 35mm
https://www.csfd.cz/film/6293-nikdo-nic-nevi/prehled/
https://www.imdb.com/title/tt0133126/?ref_=nv_sr_3?ref_=nv_sr_3
https://program.lfs.cz/detail/?film=Nobody-Knows-Anything","Uherské Hradiště, Reduta 1"
DJs Pachamama (Kolumbie/Praha) + Wawakal (Bassta Fidli Crew / UH),8/3/2019,23:23,8/4/2019,3:23,False,"240 min.
https://program.lfs.cz/detail/?film=DJs-Pachamama-(Kolumbie%2fPraha)-%2b-Wawakal-(Bassta-Fidli-Crew-%2f-UH)","Uherské Hradiště, Klub Mír"
Srdce světa,7/30/2019,11:30,7/30/2019,13:45,False,"Natalija Meščaninovová / Litva, Rusko 2018 / 125 min. / 15 let / DCP
https://www.csfd.cz/film/566871-serdce-mira/prehled/
https://www.imdb.com/title/tt8845840/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Core-of-the-World","Uherské Hradiště, Klub kultury 1"
Srdce světa,8/3/2019,23:30,8/4/2019,1:45,False,"Natalija Meščaninovová / Litva, Rusko 2018 / 125 min. / 15 let / DCP
https://www.csfd.cz/film/566871-serdce-mira/prehled/
https://www.imdb.com/title/tt8845840/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Core-of-the-World","Uherské Hradiště, Slovácké divadlo"
U trati,7/28/2019,20:30,7/28/2019,22:43,False,"Cătălin Mitulescu / Rumunsko, Švédsko 2016 / 88 min. / DCP
https://www.csfd.cz/film/439964-u-trati/prehled/
https://www.imdb.com/title/tt4936300/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=By-the-Rails","Uherské Hradiště, Slovácké divadlo"
Sedím na konári a je mi dobre,8/3/2019,21:30,8/3/2019,23:46,False,"Juraj Jakubisko / Československo, SRN 1989 / 126 min. / DCP
https://www.csfd.cz/film/4730-sedim-na-konari-a-je-mi-dobre/prehled/
https://www.imdb.com/title/tt0098280/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Sitting-on-a-Branch-Enjoying-Myself","Uherské Hradiště, Sportovní hala"
Virtuální drag a gender bender,8/2/2019,17:30,8/2/2019,19:00,False,"2019 / 90 min.
https://program.lfs.cz/detail/?film=Virtual-Drag-and-Gender-Bender","Uherské Hradiště, Klub kultury 2"
Staříci,7/31/2019,17:30,7/31/2019,19:40,False,"Martin Dušek, Ondřej Provazník / Česká republika, Slovensko 2019 / 85 min. / DCP
https://www.csfd.cz/film/684378-starici/galerie/?type=1
https://program.lfs.cz/detail/?film=Old-Timers","Uherské Hradiště, Klub kultury 1"
Staříci,8/3/2019,9:00,8/3/2019,10:35,False,"Martin Dušek, Ondřej Provazník / Česká republika, Slovensko 2019 / 85 min. / DCP
https://www.csfd.cz/film/684378-starici/galerie/?type=1
https://program.lfs.cz/detail/?film=Old-Timers","Uherské Hradiště, Kino Hvězda"
LFŠ invites YOLO djs + Tom Holič,8/2/2019,22:00,8/3/2019,3:00,False,"300 min.
https://program.lfs.cz/detail/?film=LF%c5%a0-invites-YOLO-djs-%2b-Tom-Holi%c4%8d","Uherské Hradiště, Divadelní/literární stan"
Lehce s životem se prát,8/3/2019,19:30,8/3/2019,21:14,False,"Olga Sommerová / Česká republika, Slovensko 2019 / 104 min.
https://www.csfd.cz/film/696374-jiri-suchy-lehce-s-zivotem-se-prat/prehled/
https://program.lfs.cz/detail/?film=Tackling-Life-with-Ease","Uherské Hradiště, Kino Hvězda"
Mé soukromé Idaho,7/27/2019,8:30,7/27/2019,10:24,False,"Gus Van Sant / USA 1991 / 104 min. / 15 let / Blu-ray
https://www.csfd.cz/film/9280-me-soukrome-idaho/prehled/
https://www.imdb.com/title/tt0102494/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=My-Own-Private-Idaho","Uherské Hradiště, Slovácké divadlo"
Mé soukromé Idaho,7/31/2019,20:30,7/31/2019,22:24,False,"Gus Van Sant / USA 1991 / 104 min. / 15 let / Blu-ray
https://www.csfd.cz/film/9280-me-soukrome-idaho/prehled/
https://www.imdb.com/title/tt0102494/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=My-Own-Private-Idaho","Uherské Hradiště, Slovácké divadlo"
Rudé noci,8/3/2019,23:59,8/4/2019,1:50,False,"Julien Carbon, Laurent Courtiaud / Francie 2010 / 101 min. / 15 let / HD file
https://www.imdb.com/title/tt1401668/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Red-Nights","Uherské Hradiště, Sportovní hala"
Byl jsem mladistvým intelektuálem,7/27/2019,23:30,7/27/2019,23:47,False,"Marek Dobeš, Štěpán Kopřiva / Česká republika 1999 / 17 min. / HD file
https://program.lfs.cz/detail/?film=I-Was-a-Teenage-Intellectual","Uherské Hradiště, Letní kino Smetanovy sady"
Návrat idiota,7/28/2019,23:30,7/29/2019,1:09,False,"Saša Gedeon / Česká republika 1999 / 99 min. / HD file
https://www.csfd.cz/film/3289-navrat-idiota/prehled/
https://www.imdb.com/title/tt0145929/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Return-of-the-Idiot","Uherské Hradiště, Letní kino Smetanovy sady"
Ága,8/2/2019,14:30,8/2/2019,16:48,False,"Milko Lazarov / Bulharsko, Francie, Německo 2018 / 93 min. / DCP
https://www.csfd.cz/film/592208-aga/prehled/
https://www.imdb.com/title/tt7909444/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=%c3%81ga","Uherské Hradiště, Klub kultury 1"
Opéra mouffe,7/29/2019,21:30,7/29/2019,21:46,False,"Agnès Vardaová / Francie 1958 / 16 min. / DCP
https://www.csfd.cz/film/71850-l-opera-mouffe/prehled/
https://www.imdb.com/title/tt0052031/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Diary-of-a-Pregnant-Woman","Uherské Hradiště, Sportovní hala"
Sběratel Ruben Brandt,7/28/2019,11:00,7/28/2019,12:44,False,"Milorad Krstić / Maďarsko 2018 / 94 min. / DCP
https://www.csfd.cz/film/643433-sberatel-ruben-brandt/prehled/
https://www.imdb.com/title/tt6241872/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Ruben-Brandt%2c-Collector","Uherské Hradiště, Kino Hvězda"
Sběratel Ruben Brandt,7/30/2019,9:30,7/30/2019,11:14,False,"Milorad Krstić / Maďarsko 2018 / 94 min. / DCP
https://www.csfd.cz/film/643433-sberatel-ruben-brandt/prehled/
https://www.imdb.com/title/tt6241872/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Ruben-Brandt%2c-Collector","Uherské Hradiště, Sportovní hala"
"Krátké hrané filmy, nominované na Oscara 2019",7/28/2019,17:30,7/28/2019,19:25,False,"105 min. / DCP
https://program.lfs.cz/detail/?film=2019-Oscar-Nominated-Live-Action-Shorts","Uherské Hradiště, Klub kultury 1"
"Krátké hrané filmy, nominované na Oscara 2019",8/1/2019,23:30,8/2/2019,1:25,False,"105 min. / DCP
https://program.lfs.cz/detail/?film=2019-Oscar-Nominated-Live-Action-Shorts","Uherské Hradiště, Slovácké divadlo"
"Odpočívej v pokoji (série 1, epizoda 1)",7/30/2019,21:30,7/30/2019,22:43,False,"Alan Ball / USA 2001 / 63 min. / 18 let / HD file
https://www.csfd.cz/film/69297-odpocivej-v-pokoji/prehled/
https://www.imdb.com/title/tt0248654/?ref_=fn_al_tt_1
https://program.lfs.cz/detail/?film=Six-Feet-Under--Pilot-(s1e01)","Uherské Hradiště, Sportovní hala"
Bennyho video,7/26/2019,21:00,7/26/2019,23:30,False,"Michael Haneke / Rakousko, Švýcarsko 1992 / 105 min. / 18 let / DCP
https://www.csfd.cz/film/33742-bennyho-video/prehled/
https://www.imdb.com/title/tt0103793/?ref_=nv_sr_1?ref_=nv_sr_1
https://program.lfs.cz/detail/?film=Benny%c2%b4s-Video","Uherské Hradiště, Klub kultury 1"
Malování na obličej,7/31/2019,15:30,7/31/2019,17:30,False,"120 min.
https://program.lfs.cz/detail/?film=Malov%c3%a1n%c3%ad-na-obli%c4%8dej","Uherské Hradiště, Dětský/herní stan"
Symfonie města New York (hudba: Drom),8/1/2019,14:30,8/1/2019,15:44,False,"64 min. / HD file
https://program.lfs.cz/detail/?film=New-York-Symphonies","Uherské Hradiště, Kino Hvězda"
"GRAND OPENING w/ Segment, Raleigh & Plast",7/26/2019,22:00,7/27/2019,3:00,False,"300 min.
https://program.lfs.cz/detail/?film=GRAND-OPENING-w%2f-Segment%2c-Raleigh-%26-Plast","Uherské Hradiště, Divadelní/literární stan"
Vykoupení L.B. Jonese,7/28/2019,11:30,7/28/2019,13:22,False,"William Wyler / USA 1970 / 102 min. / 15 let / DVD
https://www.csfd.cz/film/9915-vykoupeni-l-b-jonese/prehled/
https://www.imdb.com/title/tt0065979/?ref_=nm_flmg_dr_1
https://program.lfs.cz/detail/?film=The-Liberation-of-LB-Jones","Uherské Hradiště, Kino Mír"
Vykoupení L.B. Jonese,8/3/2019,15:00,8/3/2019,16:52,False,"William Wyler / USA 1970 / 102 min. / 15 let / DVD
https://www.csfd.cz/film/9915-vykoupeni-l-b-jonese/prehled/
https://www.imdb.com/title/tt0065979/?ref_=nm_flmg_dr_1
https://program.lfs.cz/detail/?film=The-Liberation-of-LB-Jones","Uherské Hradiště, Reduta 1"
